========== 会话开始 2026-07-23 10:08:05.319 ==========
INFO | 日志文件 | D:\Qt\project\opencv\build\Desktop_Qt_6_7_3_MSVC2019_64bit_Debug\debug\logs\app_20260723.log
INFO | 应用 | 图像处理工具 1.0.0
10:11:33.058 | INFO | 执行处理块 | name=二值化处理 elapsed=48 ms rois=0
10:11:33.060 | INFO | 流水线结束 | total=50 ms steps=[二值化处理(48ms)]
10:11:33.063 | INFO | 处理完成 | elapsed=50 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:33.063 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:33.181 | INFO | 块参数变化 | 二值化处理
10:11:33.181 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:33.224 | INFO | 执行处理块 | name=二值化处理 elapsed=40 ms rois=0
10:11:33.225 | INFO | 流水线结束 | total=42 ms steps=[二值化处理(40ms)]
10:11:33.228 | INFO | 处理完成 | elapsed=42 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:33.230 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:33.902 | INFO | 块参数变化 | 二值化处理
10:11:33.902 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=1 enabled=1 rois=0 chain=[二值化处理]
10:11:33.946 | INFO | 执行处理块 | name=二值化处理 elapsed=42 ms rois=0
10:11:33.948 | INFO | 流水线结束 | total=43 ms steps=[二值化处理(42ms)]
10:11:33.951 | INFO | 处理完成 | elapsed=43 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:33.951 | INFO | Otsu自动阈值 | t=147 rois=0
10:11:39.662 | INFO | 撤销快照 | reason=添加处理块 depth=5
10:11:39.664 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=2 enabled=2 rois=0 chain=[二值化处理 -> 滤波处理]
10:11:39.711 | INFO | 执行处理块 | name=二值化处理 elapsed=45 ms rois=0
10:11:39.797 | INFO | 执行处理块 | name=滤波处理 elapsed=84 ms rois=0
10:11:39.799 | INFO | 流水线结束 | total=133 ms steps=[二值化处理(45ms) -> 滤波处理(84ms)]
10:11:39.802 | INFO | 处理完成 | elapsed=133 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:39.830 | INFO | 添加处理块 | name=滤波处理 index=1
10:11:41.220 | INFO | 撤销快照 | reason=添加处理块 depth=6
10:11:41.222 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:41.272 | INFO | 执行处理块 | name=二值化处理 elapsed=48 ms rois=0
10:11:41.365 | INFO | 执行处理块 | name=滤波处理 elapsed=91 ms rois=0
10:11:41.516 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=148 ms rois=0
10:11:41.516 | INFO | 流水线结束 | total=292 ms steps=[二值化处理(48ms) -> 滤波处理(91ms) -> 灰度共生矩阵(148ms)]
10:11:41.519 | INFO | 处理完成 | elapsed=292 ms path=C:/Users/Admin/Desktop/图片/input.png result=1066x1061
10:11:41.555 | INFO | 添加处理块 | name=灰度共生矩阵 index=2
10:11:45.534 | INFO | 块参数变化 | 灰度共生矩阵
10:11:45.534 | INFO | 开始处理 | path=C:/Users/Admin/Desktop/图片/input.png blocks=3 enabled=3 rois=0 chain=[二值化处理 -> 滤波处理 -> 灰度共生矩阵]
10:11:45.576 | INFO | 执行处理块 | name=二值化处理 elapsed=40 ms rois=0
10:11:45.641 | INFO | 执行处理块 | name=滤波处理 elapsed=64 ms rois=0
10:11:45.785 | INFO | 执行处理块 | name=灰度共生矩阵 elapsed=142 ms rois=0
