========== 会话开始 2026-08-03 11:42:56.040 ==========
INFO | 日志文件 | D:\Qt\project\opencv\bin\debug\logs\app_20260803_114256.log
INFO | 应用 | 图像处理工具 1.0.0
11:43:35.402 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/aloeR.jpg blocks=1 rois=0
11:43:35.406 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:35.421 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:35.422 | INFO | 恢复会话 | blocks=1 rois=0
11:43:35.422 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/apple.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:35.428 | INFO | 执行处理块 | name=二值化处理 elapsed=4 ms rois=0
11:43:35.428 | INFO | 流水线结束 | total=5 ms steps=[二值化处理(4ms)]
11:43:35.429 | INFO | 处理完成 | elapsed=5 ms path=D:/opencv/opencv/sources/samples/data/apple.jpg result=512x512
11:43:35.429 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/apple.jpg size=512x512 prev=D:/opencv/opencv/sources/samples/data/aloeR.jpg session=强制模板 blocks=1 rois=0
11:43:35.942 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/apple.jpg blocks=1 rois=0
11:43:35.944 | INFO | 清空处理链 | removed=1 reprocessAfter=否
11:43:35.959 | INFO | 添加处理块 | name=二值化处理 index=0
11:43:35.959 | INFO | 恢复会话 | blocks=1 rois=0
11:43:35.960 | INFO | 开始处理 | path=D:/opencv/opencv/sources/samples/data/baboon.jpg blocks=1 enabled=1 rois=0 chain=[二值化处理]
11:43:35.966 | INFO | 执行处理块 | name=二值化处理 elapsed=5 ms rois=0
11:43:35.966 | INFO | 流水线结束 | total=6 ms steps=[二值化处理(5ms)]
11:43:35.967 | INFO | 处理完成 | elapsed=6 ms path=D:/opencv/opencv/sources/samples/data/baboon.jpg result=512x512
11:43:35.967 | INFO | 加载图片 | path=D:/opencv/opencv/sources/samples/data/baboon.jpg size=512x512 prev=D:/opencv/opencv/sources/samples/data/apple.jpg session=强制模板 blocks=1 rois=0
11:43:36.479 | INFO | 保存会话 | path=D:/opencv/opencv/sources/samples/data/baboon.jpg blocks=1 rois=0
